Model Name,Description,Field Count,Required Fields,Optional Fields
PermissionEntry,Single permission entry for a user on a casefile.,6,3,3
CasefileACL,Access Control List for a casefile.,4,1,3
CasefileMetadata,Metadata for a casefile.,6,2,4
ResourceReference,Reference to an external resource linked to a casefile.,4,2,2
CasefileModel,Complete casefile model with metadata and linked resources.,9,1,8
ChatSession,Complete record of a chat session with messages.,11,2,9
AuthToken,JWT authentication token structure.,3,3,0
ToolEvent,Record of a tool execution within a session.,15,2,13
ToolSession,Complete record of a tool session with requests and responses.,7,2,5
